donor_id,name,blood_group,phone,last_donation_date,donation_count,contact_opt_in
D100000,Brandon Russell,O,+60-15-387-0746,2025-05-05,4,Yes
D100001,Steven Johnson,A,+60-16-326-1684,2012-09-07,6,Yes
D100002,Evelyn Christian,A,+60-10-072-4196,2015-01-21,8,Yes
D100003,George Cook,AB,+60-18-213-2332,2017-01-22,2,Yes
D100004,Aaron Graham,O,+60-10-376-7129,2016-10-07,6,Yes
D100005,Kyle Jones,B,+60-19-814-6647,2026-03-29,9,Yes
D100006,Jerome Whitehead,O,+60-14-836-6488,2026-03-11,2,Yes
D100007,Charles Tyler,O,+60-19-614-4313,2026-05-30,3,Yes
D100008,Thomas Berry,B,+60-10-269-7085,2016-09-02,7,Yes
D100009,Ryan Mack,B,+60-15-800-4300,2024-07-04,6,No
D100010,Robert Clark,B,+60-12-669-5300,2020-05-26,7,Yes
D100011,Kelsey Pacheco,O,+60-17-670-9269,2020-06-14,9,Yes
D100012,James Hammond,B,+60-12-973-9271,2023-08-26,5,No
D100013,Melinda Little,A,+60-10-937-7393,2019-04-10,5,Yes
D100014,Stefanie Tucker,B,+60-19-712-2004,2012-01-13,4,Yes
D100015,Jade Johnson,O,+60-14-418-7618,2019-02-20,5,Yes
D100016,Catherine Wilkins,A,+60-17-101-0864,2011-06-24,4,Yes
D100017,Mary Jackson,A,+60-19-709-8503,2026-06-05,5,Yes
D100018,James Jones,AB,+60-11-940-2094,2009-09-29,8,No
D100019,Kenneth Rogers,AB,+60-17-430-6065,2019-09-05,2,Yes
D100020,Brandon Fuller,O,+60-11-699-7614,2026-05-27,6,Yes
D100021,Harold Perez,O,+60-12-877-5597,2008-02-17,4,Yes
D100022,Misty Stout,O,+60-13-927-8484,2018-09-06,5,Yes
D100023,Wendy Maynard,O,+60-11-936-9414,2009-09-13,7,Yes
D100024,Cynthia Webb,O,+60-17-817-1300,2022-09-21,4,Yes
D100025,William Wallace,B,+60-16-517-7458,2024-08-15,3,Yes
D100026,Amanda Taylor,B,+60-14-645-3922,2012-10-07,5,Yes
D100027,David Bell,A,+60-17-634-2013,2018-02-10,9,Yes
D100028,Jeffrey Fisher,A,+60-10-775-5459,2026-06-11,6,No
